CustomerID|CustomerName|BillToCustomerID|CustomerCategoryID|BuyingGroupID|PrimaryContactPersonID|AlternateContactPersonID|DeliveryMethodID|DeliveryCityID|PostalCityID|CreditLimit|AccountOpenedDate|StandardDiscountPercentage|IsStatementSent|IsOnCreditHold|PaymentDays|PhoneNumber|FaxNumber|DeliveryRun|RunPosition|WebsiteURL|DeliveryAddressLine1|DeliveryAddressLine2|DeliveryPostalCode|DeliveryLocation|PostalAddressLine1|PostalAddressLine2|PostalPostalCode|LastEditedBy|ValidFrom|ValidTo
1|"Tailspin Toys (Head Office)"|1|3|1|1001|1002|3|19586|19586||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(308) 555-0100"|"(308) 555-0101"|""|""|"http://www.tailspintoys.com"|"Shop 38"|"1877 Mittal Road"|"90410"|POINT (-102.6201979 41.4972022)|"PO Box 8975"|"Ribeiroville"|"90410"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
2|"Tailspin Toys (Sylvanite, MT)"|1|3|1|1003|1004|3|33475|33475||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(406) 555-0100"|"(406) 555-0101"|""|""|"http://www.tailspintoys.com/Sylvanite"|"Shop 245"|"705 Dita Lane"|"90216"|POINT (-115.8743507 48.7163356)|"PO Box 259"|"Jogiville"|"90216"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
3|"Tailspin Toys (Peeples Valley, AZ)"|1|3|1|1005|1006|3|26483|26483||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(480) 555-0100"|"(480) 555-0101"|""|""|"http://www.tailspintoys.com/PeeplesValley"|"Unit 217"|"1970 Khandke Road"|"90205"|POINT (-112.7271223 34.2689145)|"PO Box 3648"|"Lucescuville"|"90205"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
4|"Tailspin Toys (Medicine Lodge, KS)"|1|3|1|1007|1008|3|21692|21692||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(316) 555-0100"|"(316) 555-0101"|""|""|"http://www.tailspintoys.com/MedicineLodge"|"Suite 164"|"967 Riutta Boulevard"|"90152"|POINT (-98.580361 37.2811339)|"PO Box 5065"|"Maciasville"|"90152"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
5|"Tailspin Toys (Gasport, NY)"|1|3|1|1009|1010|3|12748|12748||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(212) 555-0100"|"(212) 555-0101"|""|""|"http://www.tailspintoys.com/Gasport"|"Unit 176"|"1674 Skujins Boulevard"|"90261"|POINT (-78.5761394 43.1992244)|"PO Box 6294"|"Kellnerovaville"|"90261"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
6|"Tailspin Toys (Jessie, ND)"|1|3|1|1011|1012|3|17054|17054||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(701) 555-0100"|"(701) 555-0101"|""|""|"http://www.tailspintoys.com/Jessie"|"Shop 196"|"483 Raut Lane"|"90298"|POINT (-98.2381519 47.542218)|"PO Box 571"|"Booseville"|"90298"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
7|"Tailspin Toys (Frankewing, TN)"|1|3|1|1013|1014|3|12152|12152||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(423) 555-0100"|"(423) 555-0101"|""|""|"http://www.tailspintoys.com/Frankewing"|"Shop 27"|"904 Kellnerova Street"|"90761"|POINT (-86.8511135 35.19258)|"PO Box 5684"|"Ghoshville"|"90761"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
8|"Tailspin Toys (Bow Mar, CO)"|1|3|1|1015|1016|3|3673|3673||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(303) 555-0100"|"(303) 555-0101"|""|""|"http://www.tailspintoys.com/BowMar"|"Shop 282"|"752 Shaker Doust Boulevard"|"90484"|POINT (-105.0499841 39.628321)|"PO Box 614"|"Vachaville"|"90484"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
9|"Tailspin Toys (Netcong, NJ)"|1|3|1|1017|1018|3|23805|23805||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(201) 555-0100"|"(201) 555-0101"|""|""|"http://www.tailspintoys.com/Netcong"|"Shop 33"|"25 Kasesalu Street"|"90129"|POINT (-74.7065516 40.8989877)|"PO Box 8369"|"Bouleville"|"90129"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
10|"Tailspin Toys (Wimbledon, ND)"|1|3|1|1019|1020|3|37403|37403||2013-01-01 00:00:00.0000000|0.000|False|False|7|"(701) 555-0100"|"(701) 555-0101"|""|""|"http://www.tailspintoys.com/Wimbledon"|"Unit 67"|"372 Joo Lane"|"90061"|POINT (-98.4598177 47.1697143)|"PO Box 8702"|"Rajuville"|"90061"|1|2013-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999
